location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Hobart,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,13.358,12.651,0.707,3,
Hobart,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,13.37,12.651,0.719,4,median
Hobart,ssp126,2050,CESM2,annual_mean_temperature,13.741,12.651,1.091,5,
Hobart,ssp126,2050,CMCC-ESM2,annual_mean_temperature,13.806,12.651,1.156,6,
Hobart,ssp126,2050,ACCESS-CM2,annual_mean_temperature,13.83,12.651,1.179,7,hottest
Hobart,ssp126,2070,NorESM2-MM,annual_mean_temperature,12.864,12.651,0.214,1,coolest
Hobart,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,13.313,12.651,0.662,2,
Hobart,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,13.392,12.651,0.741,3,
Hobart,ssp126,2070,EC-Earth3,annual_mean_temperature,13.721,12.651,1.07,4,median
Hobart,ssp126,2070,CMCC-ESM2,annual_mean_temperature,13.859,12.651,1.208,5,
Hobart,ssp126,2070,ACCESS-CM2,annual_mean_temperature,14.097,12.651,1.446,6,
Hobart,ssp126,2070,CESM2,annual_mean_temperature,14.208,12.651,1.557,7,hottest
Hobart,ssp370,2030,NorESM2-MM,annual_mean_temperature,12.666,12.651,0.016,1,coolest
Hobart,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,13.059,12.651,0.408,2,
Hobart,ssp370,2030,ACCESS-ESM1-5,annual_mean_temperature,13.157,12.651,0.507,3,
Hobart,ssp370,2030,EC-Earth3,annual_mean_temperature,13.359,12.651,0.708,4,median
Hobart,ssp370,2030,CMCC-ESM2,annual_mean_temperature,13.482,12.651,0.831,5,
Hobart,ssp370,2030,ACCESS-CM2,annual_mean_temperature,13.555,12.651,0.904,6,
Hobart,ssp370,2030,CESM2,annual_mean_temperature,13.646,12.651,0.995,7,hottest
Hobart,ssp370,2050,NorESM2-MM,annual_mean_temperature,13.458,12.651,0.807,1,coolest
Hobart,ssp370,2050,ACCESS-ESM1-5,annual_mean_temperature,13.721,12.651,1.07,2,
Hobart,ssp370,2050,MPI-ESM1-2-HR,annual_mean_temperature,13.903,12.651,1.252,3,
Hobart,ssp370,2050,EC-Earth3,annual_mean_temperature,13.91,12.651,1.259,4,median
Hobart,ssp370,2050,CMCC-ESM2,annual_mean_temperature,14.051,12.651,1.4,5,
Hobart,ssp370,2050,ACCESS-CM2,annual_mean_temperature,14.386,12.651,1.735,6,
Hobart,ssp370,2050,CESM2,annual_mean_temperature,14.423,12.651,1.772,7,hottest
Hobart,ssp370,2070,NorESM2-MM,annual_mean_temperature,14.006,12.651,1.355,1,coolest
Hobart,ssp370,2070,ACCESS-ESM1-5,annual_mean_temperature,14.311,12.651,1.66,2,
